csc,countries,carriers
3IE,IE,Three
ABD,TN
ACG,US,Nextech;C-Spire
ACR,GH
AFG,AF
AFR,KE
AIO,US,Cricket Wireless
ALE,EC
ALG,DZ
ALR,DZ
AMN,ES,Orange
AMO,ES,Orange
ANC,UY
ANP,IE
AOC,GR
AOM,AT
ARB,BH;AE
ARO,AR
ARU,AW
ATC,US
ATL,ES,Vodafone
ATO,AT
ATT,US,AT&T
AUC,FR
AUT,CH
AVF,AL,Vodafone
AXI,ID
AZC,RU
BAA,BS
BAE,BE
BAS,TR
BAT,BS
BAU,SE
BBR,EC
BCN,SE
BEN,NL
BGD,SG
BGL,BG
BHO,BA
BHT,BA,BH Telecom
BKD,BD
BLN,RU
BMC,CA,Bell
BME,SE
BNG,BD
BOG,FR,Bouygues
BPC,PA
BRI,TW
BSE,BE
BSG,SE
BST,US,Boost Mobile
BTA,BR
BTB,UK
BTC,LY
BTE,UK
BTH,SE
BTM,BR
BTU,GB
BVO,BO
BVT,BO
BVV,BO
BWA,CA,SaskTel
CAC,UZ
CAL,NL
CAM,KH
CAT,TH
CAU,AM;GE;AZ;RU
CCM,MY
CCT,US,Xfinity Mobile
CDR,DO
CEL,IL,Cellcom
CEN,PR
CGU,CO;GT,Tigo
CHA,US,Spectrum Mobile
CHB,CL
CHC,CN
CHE,CL,Entel PCS
CHL,CL,Claro
CHM,CN,China Mobile
CHN,CN
CHO,CL
CHR,CA,Chatr
CHT,CL,Telefonica
CHV,CL,VTR
CHX,CL,Nextel
CMC,CN
CMF,BG
CNX,RO,Vodafone
COA,RO,Cosmote
COB,CO,Movistar
COE,CO,ETB
COL,CO
COM,CO,Comcel
COO,CO
COR,FR
COS,GR,Cosmote
COV,SE
CPA,PA,Claro
CPW,GB,Carphone Warehouse
CRC,CL
CRG,HR
CRM,AR;BO;BR;CL;CO;EC;FK;GF;GY;PY;PE;SR;UY;VE,Movistar
CRO,HR,T-Mobile
CSC,UZ
CST,DM
CTC,CN,China Telecom
CTE,HN
CTF,CA,Cityfone
CTI,AR,Claro
CTP,PY,Claro
CTT,PT
CTU,UY
CTZ,DO,Claro
CUA,US,US Cellular
CVN,KR
CTH,CA;US
CYV,AR,Personal
CYO,MX
CYO,MX
DBT,DE
DCO,DO
DDE,DE,T-Mobile
